,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,CantonAbbreviation,CantonName,Citizenship,CouncilAbbreviation,CouncilName,DateElection_at,DateJoining_at,DateLeaving_at,DateOath_at,DateOfBirth_at,DateOfDeath_at,DateResignation_at,FirstName,Gender,ID,LastName,Mandates,MaritalStatus,MilitaryRank,NumberOfChildren,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,PartyAbbreviation,PartyName,PersonIdCode
237,false,,,,,BE,Berne,Rüschegg (BE),CN,Conseil national,1991-10-20,1991-11-25,1995-06-09,1991-11-25,1943-04-30,2006-03-07,1995-06-09,Jean-Claude,m,244,Zwahlen,,,,,,,,,AJU (BE)*,Alliance jurassienne (BE),2334.0
238,false,,,,Schliern,BE,Berne,"Bolligen (BE),Meikirch (BE)",CN,Conseil national,1995-12-04,1995-12-04,2000-09-18,1995-12-04,1940-01-16,,2000-09-18,Otto,m,245,Zwygart,"Grosser Gemeinderat Bolligen von 1970 bis 1974, Grossrat BE von 1974 bis 1983; Präsident der Evangelischen und Unabhängigen Fraktion seit Dezember 1999",marié(e),,4.0,,,,,PEV,Parti évangélique suisse,2199.0
239,false,,,,Boudry,VD,Vaud,Tramelan (BE),CE,Conseil des Etats,2003-11-09,2003-12-01,2007-12-02,2003-12-01,1936-08-01,,2007-12-02,Michel,m,246,Béguelin,Comité directeur du PSS de 1985 à 1991,marié(e),,2.0,,,,,,,2012.0
240,false,,,,,VD,Vaud,"Thielle-Wavre (NE),Dompierre (FR)",CN,Conseil national,1983-11-28,1983-11-28,1995-12-03,1983-11-28,1929-01-01,,1995-12-03,Jean-Pierre,m,247,Berger,,,,,,,,,,,2013.0
241,false,,,,,TI,Tessin,Chiasso (TI),CN,Conseil national,1991-11-25,1991-11-25,1995-12-03,1991-11-25,1937-07-14,,1995-12-03,Geo,m,248,Camponovo,,,,,,,,,,,2278.0
242,false,,,,Morges,VD,Vaud,Allaman (VD),CN,Conseil national,1995-12-04,1995-12-06,1999-12-05,1995-12-06,1946-08-10,,1999-12-05,Charles,m,249,Friderici,"Conseil général depuis 1979, Conseil municipal de 1982 à 1990",marié(e),,2.0,,,,,,,2068.0
243,false,,President du groupe liberal depuis 1994,,Genève 8,GE,Genève,Dardagny (GE),CN,Conseil national,1995-12-04,1995-12-04,1999-12-05,1995-12-04,1953-04-18,,1999-12-05,Jean-Michel,m,250,Gros,"Conseiller municipal de 1983 à 1987, Adjoint au maire depuis 1987, Depute au grand conseil de 1985 à 1989",,,,,,,,PLD,Parti libéral démocrate,2074.0
244,false,,,,,NW,Nidwald,Unterägeri (ZG),CN,Conseil national,1979-11-26,1979-11-26,1995-12-03,1979-11-26,1943-08-09,,1995-12-03,Joseph,m,251,Iten,,,,,,,,,,,2091.0
245,false,,Europarat,,Illhart,TG,Thurgovie,Seeberg (BE),CN,Conseil national,1995-10-22,1995-12-04,1999-12-05,1995-12-04,1930-06-17,2009-09-11,1999-12-05,Ernst,m,252,Mühlemann,Gemeinde-Legislative Kreuzlingen von 1964 bis 1968,marié(e),Brigadier,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2120.0
246,false,,,,,NE,Neuchâtel,Sigriswil (BE),CN,Conseil national,1993-09-20,1993-09-20,1995-12-03,1993-09-20,1951-03-04,,1995-12-03,Rolf,m,253,Graber,,,,,,,,,,,2342.0
247,false,,,,Grosshöchstetten,SO,Soleure,"Olten (SO),Zell (LU)",CN,Conseil national,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1945-08-10,,2007-12-02,Rudolf,m,254,Steiner,"Gemeinderat Olten von 1973 bis 1981, Kantonsrat Solothurn von 1985 bis 1993",marié(e),Premier-lieutenant,2.0,,,,,,,2343.0
248,false,,"ehemaliger Präsident Hilfswerk ""Brot für Alle""; Mitglied VPOD und VAA",,Rüschegg,AG,Argovie,Rüschegg (BE),CN,Conseil national,1995-12-04,1995-12-04,2002-03-22,1995-12-04,1945-06-07,,2002-03-22,Hans,m,255,Zbinden,"Grosser Rat AG von 1977 bis 1987, Grossratspräsident 1986/1987",célibataire,,,,,,,PSS,Parti socialiste suisse,2193.0
249,false,,,,,JU,Jura,"Wahlern (BE),Delémont (JU)",CN,Conseil national,1993-12-06,1993-12-06,1995-12-03,1993-12-06,1952-06-14,,1995-12-03,Alain,m,257,Schweingruber,,,,,,,,,,,2344.0
